NM_MUN,delta_other_crops,suit_soybean,suit_sugarcane,underused_soybean,underused_sugarcane,zone,opportunity
Águas Lindas de Goiás,-0.002043007052864756,0.21276029239808664,0.24201402584547094,0.2093396592219748,0.25296927366712996,6.892813715040601,0.04453916710658318
Goianápolis,-0.01782438452583758,0.47635316093714114,0.5722439840296565,0.40542909397861593,0.5986789532920652,6.170827236916158,0.19312743045259495
Água Limpa,-0.017293224102666503,0.39694064363225323,0.5473374555440346,0.4194553767871493,0.5882269580018331,4.806042039146005,0.16649888723690032
Goiandira,-0.012016519358281852,0.5690719540666743,0.6588749691236421,0.578640083645133,0.7031488067072215,1.7203481744905125,0.3292878431012397
Alexânia,-0.004907965976073579,0.3975282812100966,0.4939315311170984,0.3107338076126043,0.5242294442581187,0.16524283896785555,0.1235254764541074
Panamá,-0.057344474369976306,0.784003411850439,0.8197499627550269,0.5087912871113106,0.6980621174861705,8.878252020648322,0.3988941050150438
Firminópolis,-0.06979774856279836,0.8343505489258972,0.8743658484414573,0.7308523309833271,0.9122884787048525,8.470221062726099,0.6097870435397105
Palminópolis,-0.06418409136575538,0.8177981425248975,0.8603333353836563,0.6614346888849199,0.9029389304597706,8.738090985741163,0.5409200599716208
Paranaiguara,-0.0548628497061637,0.7487686587992212,0.7300900944395365,0.734095787918163,0.5174118572363927,7.255293305625841,0.5496679185496404
Formoso,-0.06084285458119436,0.40011482288448524,0.4143020680059585,0.4699986919584636,0.489189289329244,4.256982443612462,0.1880534433889004
Flores de Goiás,-0.03053779415162923,0.5745206140282829,0.5750106425159458,0.6036495506062244,0.6273893693626295,4.109108777089594,0.3468091104721851
Formosa,-0.007041796410517899,0.38342775797577483,0.39462670612628875,0.3532387855137061,0.40718670195127754,1.8266236955883848,0.13544155555960594
Ouvidor,-0.006425386295318798,0.47634269901922394,0.5834914541923903,0.4495821200895082,0.6130656534325306,1.505387090801091,0.2141551605142212
Orizona,-0.007367109759955666,0.5816958157191725,0.6738940888803516,0.4009821150081847,0.7072289044045317,0.3684948634086624,0.23324961847848505
Doverlândia,-0.033163307556821765,0.43811670168767336,0.4230163568628137,0.45771407345651516,0.495929436726002,1.9953622622617193,0.20053218017879787
Ouro Verde de Goiás,-0.023270130015795993,0.4430418070913608,0.6286868220399071,0.47729550613512395,0.6769532785425765,1.8806985205599716,0.21146186355469102
Edealina,-0.057445641765203975,0.7782565247224067,0.8096402773795623,0.36404504264682763,0.8354076862364155,8.791414280577047,0.2833204297327404
Palmeiras de Goiás,-0.05801911529956325,0.7877558431981604,0.8208116434309969,0.4872384425120208,0.8414599293442474,7.95933467452918,0.3838249301196153
Palmelo,-0.013841364634593857,0.6643831961581571,0.7402994346481653,0.5852810734850293,0.7672536961721083,0.02878258248619195,0.388850910252861
Padre Bernardo,-0.009018086450837293,0.4142051713896974,0.44013047308976094,0.2743407369977766,0.45309104056305227,1.2889709565348373,0.11363335198733997
Faina,-0.05922158167674928,0.3927430468687158,0.38780441030670065,0.5108631425105084,0.4734460732743358,4.1960048191488015,0.20063794712250402
Estrela do Norte,-0.08753001219567176,0.5058622561903457,0.49048380438755335,0.5848946278474845,0.6164131421453244,4.1878096031499625,0.29587611607654113
Palestina de Goiás,-0.051137256255381014,0.5306886788547557,0.5731654122415154,0.5134273877025503,0.6539152065739013,7.241255424493927,0.2724701020677148
Fazenda Nova,-0.06551721362692306,0.49275457596689964,0.484615789252605,0.6213987235481784,0.6131161720501265,4.285949988799201,0.3061970645283553
Edéia,-0.06346707036680706,0.7846010641147055,0.8019495057286171,0.4705704794022861,0.6365122890825955,8.755042740748845,0.3692100988800008
Nova Veneza,-0.029697364058547407,0.5370438530063806,0.6664087080257597,0.5830240124644852,0.6924013991995847,3.309658830537987,0.3131094620491672
Nova Crixás,-0.1581025873202773,0.370315649358739,0.2765032945576346,0.43056605661957514,0.24736826930713932,5.877362253195203,0.15944534884890957
Nova Aurora,-0.01154310867373161,0.46400669951227225,0.6236171043902566,0.502376270631618,0.6794685842767137,0.39725391965859513,0.23310595524906116
Nova Roma,-0.020103421485220874,0.2614348021795815,0.26811427277612404,0.26888341229707224,0.2802560740591795,4.8886321418248295,0.07029548170325593
Nova Iguaçu de Goiás,-0.07408757532142994,0.42377316389670056,0.44216293609744123,0.5220422308796515,0.5338059867079447,4.5339399487698895,0.22122748786756175
Nova Glória,-0.08547023305820818,0.7491705385332253,0.7801632029418656,0.7439239481366702,0.5605715457182749,5.947384519157734,0.5573259048533123
Novo Gama,-0.0030444659639003295,0.36125635954262514,0.406205969488004,0.36178209608421036,0.4286240790723644,3.3224758037933046,0.13069608297908206
Damolândia,-0.028116125025262836,0.4661831257691283,0.6514016062012268,0.49582823723614927,0.6975220028819624,1.0774724810752068,0.23114675747934496
Novo Brasil,-0.07388791343768857,0.5380291053521207,0.5314400286472886,0.7120379692426636,0.7011797235820674,4.5120211655017055,0.3830971515683711
Cumari,-0.012415752364297908,0.5532639128774566,0.6740677355098641,0.5814475616369528,0.7279299746255725,1.392454796557778,0.3216939530843166
Novo Planalto,-0.16578491735529088,0.3351913872528466,0.22045872028143249,0.35746120260853675,0.1410047865524307,4.710014478007154,0.11981791639142629
Damianópolis,-0.036217834255999656,0.441534854894607,0.47648539796141665,0.47344094813663673,0.5019261566539649,5.597446811874754,0.20904068033667506
Diorama,-0.0724410618857277,0.5198545366771425,0.5146906042444088,0.6049627323976551,0.632641531204491,4.471114109117576,0.3144926209575212
Davinópolis,-0.003582496031788653,0.40000027775205393,0.5373018684664349,0.39292214319072427,0.5809173846446561,0.33370555448779554,0.15716896641122202
Nazário,-0.05445114673205837,0.7333578073249327,0.79944406787628,0.6471661268062082,0.7973045983164316,3.8680101349360636,0.47460433172957023
Nerópolis,-0.02438166411265327,0.5197525188955117,0.6337821876274108,0.5083508524709416,0.6639871345858657,5.674556950732138,0.2642166360544525
Cristianópolis,-0.019050950973797495,0.5966627653321968,0.6650685358133582,0.4197386416556548,0.6807532317628914,0.2329907354553587,0.250442418647043
Nova América,-0.07500954332278215,0.4976909854486193,0.6116863825192395,0.5647865253033314,0.6653525490204908,4.19420985205482,0.28108916234631653
Cristalina,-0.005007686605192367,0.6366430473158406,0.6625694246992103,0.21542849994561986,0.6872680891198774,0.19400701516628852,0.13715105668405983
Cromínia,-0.03992518140444983,0.665204916048217,0.7474219449192294,0.6887424563443191,0.7844681643070031,8.388800077508114,0.4581548678513655
Niquelândia,-0.022639436809311225,0.23794021067886437,0.25636545399681526,0.18543248987342606,0.2654679306139144,3.9014279809379557,0.04412184570718938
